iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1775340378937,1.3363228,30.09719,408.8633,155.72696,100,0.0497931,1.9925495,5,200,137,0.051
1,1775340378937,1.3363228,18.330442,408.8633,155.72696,100,0.0497931,1.9925495,5,300,137,0.051
2,1775340378937,1.3363228,15.395221,408.8633,155.72696,100,0.0497931,1.9925495,5,400,137,0.051
3,1775340378937,1.2828989,12.618065,412.88528,154.04837,100,0.0497931,1.9925495,5,500,440,0.171
4,1775340378937,1.0226088,7.843853,409.48135,154.17094,100,0.0497931,1.9925495,5,600,512,0.217
5,1775340378937,0.9954176,5.447266,409.23593,153.58337,100,0.0497931,1.9925495,5,700,614,0.272
6,1775340378937,0.46702862,1.4002277,309.34042,155.84927,100,0.0497931,1.9925495,5,800,762,0.324
7,1775340378937,0.46702862,1.3818598,309.34042,155.84927,100,0.0497931,1.9925495,5,900,762,0.324
8,1775340378937,0.03181362,1.3559325,307.26352,154.24776,100,0.0497931,1.9925495,5,1000,950,0.421
9,1775340378937,0.03181362,1.5740978,307.26352,154.24776,100,0.0497931,1.9925495,5,1100,950,0.421
10,1775340378937,0.027169228,3.5077722,307.13358,154.1984,100,0.0497931,1.9925495,5,1200,1131,0.522
11,1775340378937,0.024271965,3.8117685,307.49554,154.14679,100,0.0497931,1.9925495,5,1300,1300,0.568
12,1775340378937,0.0038499832,0.9428874,307.36887,153.39085,100,0.0497931,1.9925495,5,1400,1393,0.617
13,1775340378937,7.2574615E-4,0.047704447,307.36508,153.54738,100,0.0497931,1.9925495,5,1500,1427,0.67
14,1775340378937,3.8146973E-5,0.018477812,307.24515,153.59836,100,0.0497931,1.9925495,5,1600,1537,0.721
15,1775340378937,3.8146973E-5,0.0049415873,307.24515,153.59836,100,0.0497931,1.9925495,5,1700,1537,0.721
16,1775340378937,2.7656555E-5,0.009092198,307.23428,153.59113,100,0.0497931,1.9925495,5,1800,1782,0.826
17,1775340378937,3.8146973E-6,0.009120446,307.1933,153.59392,100,0.0497931,1.9925495,5,1900,1872,0.879
18,1775340378937,0.0,0.00428524,307.1972,153.60075,100,0.0497931,1.9925495,5,2000,1940,0.927
19,1775340378937,0.0,0.003259716,307.1972,153.60075,100,0.0497931,1.9925495,5,2100,1940,0.927
20,1775340378937,0.0,0.0053357314,307.1972,153.60075,100,0.0497931,1.9925495,5,2200,1940,0.927
21,1775340378937,0.0,7.976055E-4,307.1972,153.60075,100,0.0497931,1.9925495,5,2300,1940,0.927
22,1775340378937,0.0,0.0116532035,307.1972,153.60075,100,0.0497931,1.9925495,5,2400,1940,0.927
23,1775340378937,0.0,0.0028329564,307.1972,153.60075,100,0.0497931,1.9925495,5,2500,1940,0.927
24,1775340378937,0.0,0.007169094,307.1972,153.60075,100,0.0497931,1.9925495,5,2600,1940,0.927
25,1775340378937,0.0,0.0051530264,307.1972,153.60075,100,0.0497931,1.9925495,5,2700,1940,0.927
26,1775340378937,0.0,0.006379709,307.1972,153.60075,100,0.0497931,1.9925495,5,2800,1940,0.927
27,1775340378937,0.0,0.007917042,307.1972,153.60075,100,0.0497931,1.9925495,5,2900,1940,0.927
28,1775340378937,0.0,0.0012234115,307.1972,153.60075,100,0.0497931,1.9925495,5,3000,1940,0.927
29,1775340378937,0.0,0.00415184,307.1972,153.60075,100,0.0497931,1.9925495,5,3100,1940,0.927
30,1775340378937,0.0,0.0064548017,307.1972,153.60075,100,0.0497931,1.9925495,5,3200,1940,0.927
31,1775340378937,0.0,0.0048858835,307.1972,153.60075,100,0.0497931,1.9925495,5,3300,1940,0.927
32,1775340378937,0.0,0.0031839942,307.1972,153.60075,100,0.0497931,1.9925495,5,3400,1940,0.927
