iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,2.244771,208.02097,203.29562,100,0.1,55.0,3,100,41,0.005
1,2.080099,411.23267,204.7363,100,0.1,55.0,3,200,110,0.013
2,0.94963455,304.18445,150.37265,100,0.1,55.0,3,300,233,0.032
3,0.67867756,307.76428,156.59808,100,0.1,55.0,3,400,323,0.049
4,0.67867756,307.76428,156.59808,100,0.1,55.0,3,500,323,0.049
5,0.67867756,307.76428,156.59808,100,0.1,55.0,3,600,323,0.049
6,0.67867756,307.76428,156.59808,100,0.1,55.0,3,700,323,0.049
7,0.67867756,307.76428,156.59808,100,0.1,55.0,3,800,323,0.049
8,0.6055174,311.74963,155.29404,100,0.1,55.0,3,900,844,0.132
9,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1000,844,0.132
10,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1100,844,0.132
11,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1200,844,0.132
12,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1300,844,0.132
13,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1400,844,0.132
14,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1500,844,0.132
15,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1600,844,0.132
16,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1700,844,0.132
17,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1800,844,0.132
18,0.6055174,311.74963,155.29404,100,0.1,55.0,3,1900,844,0.132
19,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2000,844,0.132
20,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2100,844,0.132
21,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2200,844,0.132
22,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2300,844,0.132
23,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2400,844,0.132
24,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2500,844,0.132
25,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2600,844,0.132
26,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2700,844,0.132
27,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2800,844,0.132
28,0.6055174,311.74963,155.29404,100,0.1,55.0,3,2900,844,0.132
29,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3000,844,0.132
30,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3100,844,0.132
31,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3200,844,0.132
32,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3300,844,0.132
33,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3400,844,0.132
34,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3500,844,0.132
35,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3600,844,0.132
36,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3700,844,0.132
37,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3800,844,0.132
38,0.6055174,311.74963,155.29404,100,0.1,55.0,3,3900,844,0.132
39,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4000,844,0.132
40,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4100,844,0.132
41,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4200,844,0.132
42,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4300,844,0.132
43,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4400,844,0.132
44,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4500,844,0.132
45,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4600,844,0.132
46,0.6055174,311.74963,155.29404,100,0.1,55.0,3,4700,844,0.132
47,0.5206442,303.83038,151.58218,100,0.1,55.0,3,4800,4770,0.782
