iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774274399169,4.659359,210.17853,198.9898,100,0.1,55.0,3,200,150,0.013
1,1774274399169,1.0532198,408.25766,154.37453,100,0.1,55.0,3,300,252,0.028
2,1774274399169,0.92318726,308.81293,157.02332,100,0.1,55.0,3,400,351,0.052
3,1774274399169,0.7472229,303.29324,156.07437,100,0.1,55.0,3,500,431,0.065
4,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,600,513,0.089
5,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,700,513,0.089
6,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,800,513,0.089
7,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,900,513,0.089
8,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1000,513,0.089
9,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1100,513,0.089
10,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1200,513,0.089
11,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1300,513,0.089
12,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1400,513,0.089
13,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1500,513,0.089
14,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1600,513,0.089
15,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1700,513,0.089
16,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1800,513,0.089
17,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,1900,513,0.089
18,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2000,513,0.089
19,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2100,513,0.089
20,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2200,513,0.089
21,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2300,513,0.089
22,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2400,513,0.089
23,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2500,513,0.089
24,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2600,513,0.089
25,1774274399169,0.15337181,306.21167,154.93657,100,0.1,55.0,3,2700,513,0.089
26,1774274399169,0.10885048,309.55255,153.8389,100,0.1,55.0,3,2800,2795,0.591
27,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,2900,2842,0.615
28,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3000,2842,0.615
29,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3100,2842,0.615
30,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3200,2842,0.615
31,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3300,2842,0.615
32,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3400,2842,0.615
33,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3500,2842,0.615
34,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3600,2842,0.615
35,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,3700,2842,0.615
