iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,2.735896,402.8292,204.05177,100,0.1,55.0,3,100,86,0.008
1,1.4425983,309.98837,206.53873,100,0.1,55.0,3,200,105,0.014
2,0.59054756,304.13214,151.25592,100,0.1,55.0,3,300,281,0.037
3,0.12991619,309.63037,153.1073,100,0.1,55.0,3,400,330,0.049
4,0.037879944,306.1822,154.09161,100,0.1,55.0,3,500,476,0.066
5,0.037879944,306.1822,154.09161,100,0.1,55.0,3,600,476,0.066
6,0.004105568,307.56418,153.74527,100,0.1,55.0,3,700,692,0.102
7,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,800,770,0.12
8,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,900,770,0.12
9,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1000,770,0.12
10,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1100,770,0.12
11,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1200,770,0.12
12,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1300,770,0.12
13,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1400,770,0.12
14,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1500,770,0.12
15,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1600,770,0.12
16,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1700,770,0.12
17,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1800,770,0.12
18,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,1900,770,0.12
19,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2000,770,0.12
20,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2100,770,0.12
21,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2200,770,0.12
22,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2300,770,0.12
23,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2400,770,0.12
24,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2500,770,0.12
25,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2600,770,0.12
26,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2700,770,0.12
27,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2800,770,0.12
28,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,2900,770,0.12
29,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3000,770,0.12
30,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3100,770,0.12
31,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3200,770,0.12
32,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3300,770,0.12
33,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3400,770,0.12
34,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3500,770,0.12
35,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3600,770,0.12
36,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3700,770,0.12
37,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3800,770,0.12
38,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,3900,770,0.12
39,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4000,770,0.12
40,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4100,770,0.12
41,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4200,770,0.12
42,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4300,770,0.12
43,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4400,770,0.12
44,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4500,770,0.12
45,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4600,770,0.12
46,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4700,770,0.12
47,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4800,770,0.12
48,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,4900,770,0.12
49,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5000,770,0.12
50,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5100,770,0.12
51,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5200,770,0.12
52,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5300,770,0.12
53,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5400,770,0.12
54,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5500,770,0.12
55,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5600,770,0.12
56,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5700,770,0.12
57,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5800,770,0.12
58,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,5900,770,0.12
59,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,6000,770,0.12
60,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,6100,770,0.12
61,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,6200,770,0.12
62,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,6300,770,0.12
63,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,6400,770,0.12
