iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774274379018,2.7544594,412.16132,207.33282,100,0.1,55.0,3,200,36,10.073
1,1774274379018,2.2747908,318.23578,152.73322,100,0.1,55.0,3,300,211,0.015
2,1774274379018,0.028621674,308.39636,153.74326,100,0.1,55.0,3,400,354,0.038
3,1774274379018,0.028621674,308.39636,153.74326,100,0.1,55.0,3,500,354,0.038
4,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,600,503,0.066
5,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,700,503,0.066
6,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,800,503,0.066
7,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,900,503,0.066
8,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1000,503,0.066
9,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1100,503,0.066
10,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1200,503,0.066
11,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1300,503,0.066
12,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1400,503,0.066
13,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1500,503,0.066
14,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1600,503,0.066
15,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1700,503,0.066
16,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1800,503,0.066
17,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,1900,503,0.066
18,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2000,503,0.066
19,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2100,503,0.066
20,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2200,503,0.066
21,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2300,503,0.066
22,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2400,503,0.066
23,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2500,503,0.066
24,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2600,503,0.066
25,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2700,503,0.066
26,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2800,503,0.066
27,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,2900,503,0.066
28,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3000,503,0.066
29,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3100,503,0.066
30,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3200,503,0.066
31,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3300,503,0.066
32,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3400,503,0.066
33,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3500,503,0.066
34,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3600,503,0.066
35,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3700,503,0.066
36,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3800,503,0.066
37,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,3900,503,0.066
38,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4000,503,0.066
39,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4100,503,0.066
40,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4200,503,0.066
41,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4300,503,0.066
42,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4400,503,0.066
43,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4500,503,0.066
44,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4600,503,0.066
45,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4700,503,0.066
46,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4800,503,0.066
47,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,4900,503,0.066
48,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5000,503,0.066
49,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5100,503,0.066
50,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5200,503,0.066
51,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5300,503,0.066
52,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5400,503,0.066
53,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5500,503,0.066
54,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5600,503,0.066
55,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5700,503,0.066
56,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5800,503,0.066
57,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,5900,503,0.066
58,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,6000,503,0.066
59,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,6100,503,0.066
60,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,6200,503,0.066
61,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,6300,503,0.066
62,1774274379018,0.01493454,307.53046,154.01239,100,0.1,55.0,3,6400,503,0.066
