iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,8.872849,500.00098,159.75941,100,3000.0,30.0,10.0,100,24,0.482
1,7.441743,498.85046,156.9888,100,3000.0,30.0,10.0,200,124,0.498
2,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,300,224,0.511
3,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,400,224,0.511
4,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,500,224,0.511
5,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,600,224,0.511
6,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,700,224,0.511
7,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,800,224,0.511
8,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,900,224,0.511
9,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1000,224,0.511
10,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1100,224,0.511
11,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1200,224,0.511
12,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1300,224,0.511
13,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1400,224,0.511
14,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1500,224,0.511
15,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1600,224,0.511
16,7.0985928,497.69995,154.21819,100,3000.0,30.0,10.0,1700,224,0.511
17,5.5012913,195.61395,209.4395,100,3000.0,30.0,10.0,1800,1743,0.759
18,3.979782,198.42108,208.3812,100,3000.0,30.0,10.0,1900,1843,0.774
19,2.8866234,201.22821,207.32289,100,3000.0,30.0,10.0,2000,1943,0.792
20,2.2451105,204.03534,206.26459,100,3000.0,30.0,10.0,2100,2043,0.808
21,2.0672941,206.84247,205.20628,100,3000.0,30.0,10.0,2200,2143,0.824
22,2.0672941,206.84247,205.20628,100,3000.0,30.0,10.0,2300,2143,0.824
23,2.0672941,206.84247,205.20628,100,3000.0,30.0,10.0,2400,2143,0.824
24,2.0672941,206.84247,205.20628,100,3000.0,30.0,10.0,2500,2143,0.824
25,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,2600,2587,0.89
26,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,2700,2587,0.89
27,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,2800,2587,0.89
28,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,2900,2587,0.89
29,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3000,2587,0.89
30,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3100,2587,0.89
31,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3200,2587,0.89
32,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3300,2587,0.89
33,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3400,2587,0.89
34,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3500,2587,0.89
35,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3600,2587,0.89
36,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3700,2587,0.89
37,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3800,2587,0.89
38,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,3900,2587,0.89
39,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,4000,2587,0.89
40,2.0424595,205.6189,101.83864,100,3000.0,30.0,10.0,4100,2587,0.89
41,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4200,4137,1.161
42,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4300,4137,1.161
43,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4400,4137,1.161
44,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4500,4137,1.161
45,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4600,4137,1.161
46,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4700,4137,1.161
47,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4800,4137,1.161
48,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,4900,4137,1.161
49,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,5000,4137,1.161
50,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,5100,4137,1.161
51,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,5200,4137,1.161
52,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,5300,4137,1.161
53,1.3601608,303.3453,101.59571,100,3000.0,30.0,10.0,5400,4137,1.161
54,1.1906977,408.22433,155.15216,100,3000.0,30.0,10.0,5500,5442,1.381
55,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,5600,5542,1.398
56,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,5700,5542,1.398
57,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,5800,5542,1.398
58,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,5900,5542,1.398
59,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6000,5542,1.398
60,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6100,5542,1.398
61,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6200,5542,1.398
62,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6300,5542,1.398
63,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6400,5542,1.398
64,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6500,5542,1.398
65,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6600,5542,1.398
66,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6700,5542,1.398
67,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6800,5542,1.398
68,1.1823177,406.53046,152.67612,100,3000.0,30.0,10.0,6900,5542,1.398
