iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,10.691503,391.47025,109.64852,100,3000.0,30.0,10.0,100,81,0.524
1,10.691503,391.47025,109.64852,100,3000.0,30.0,10.0,200,81,0.524
2,10.691503,391.47025,109.64852,100,3000.0,30.0,10.0,300,81,0.524
3,10.691503,391.47025,109.64852,100,3000.0,30.0,10.0,400,81,0.524
4,9.938936,420.19794,261.55457,100,3000.0,30.0,10.0,500,488,0.586
5,8.123526,420.60556,258.5824,100,3000.0,30.0,10.0,600,588,0.605
6,7.5699186,421.01318,255.61021,100,3000.0,30.0,10.0,700,688,0.621
7,6.538266,97.73343,208.10918,100,3000.0,30.0,10.0,800,776,0.638
8,5.3935566,100.01419,206.16031,100,3000.0,30.0,10.0,900,876,0.654
9,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1000,976,0.67
10,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1100,976,0.67
11,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1200,976,0.67
12,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1300,976,0.67
13,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1400,976,0.67
14,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1500,976,0.67
15,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1600,976,0.67
16,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1700,976,0.67
17,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1800,976,0.67
18,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,1900,976,0.67
19,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,2000,976,0.67
20,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,2100,976,0.67
21,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,2200,976,0.67
22,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,2300,976,0.67
23,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,2400,976,0.67
24,5.0075264,102.29495,204.21144,100,3000.0,30.0,10.0,2500,976,0.67
25,4.8931203,308.42407,258.9165,100,3000.0,30.0,10.0,2600,2517,0.936
26,4.149704,306.20526,256.89737,100,3000.0,30.0,10.0,2700,2617,0.954
