iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,100,68,0.014
1,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,200,68,0.014
2,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,300,68,0.014
3,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,400,68,0.014
4,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,500,68,0.014
5,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,600,68,0.014
6,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,700,68,0.014
7,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,800,68,0.014
8,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,900,68,0.014
9,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,1000,68,0.014
10,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,1100,68,0.014
11,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,1200,68,0.014
12,3.2432327,1774275386436,207.72437,148.1851,100,3000.0,30.0,10.0,1300,68,0.014
13,3.1728134,1774275386436,213.16533,101.87923,100,3000.0,30.0,10.0,1400,1336,0.331
14,2.572753,1774275386436,211.89581,150.3821,100,3000.0,30.0,10.0,1500,1467,0.365
15,1.4721441,1774275386436,210.08377,152.77301,100,3000.0,30.0,10.0,1600,1567,0.388
16,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,1700,1667,0.411
17,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,1800,1667,0.411
18,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,1900,1667,0.411
19,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2000,1667,0.411
20,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2100,1667,0.411
21,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2200,1667,0.411
22,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2300,1667,0.411
23,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2400,1667,0.411
24,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2500,1667,0.411
25,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2600,1667,0.411
26,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2700,1667,0.411
27,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2800,1667,0.411
28,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,2900,1667,0.411
29,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,3000,1667,0.411
30,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,3100,1667,0.411
31,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,3200,1667,0.411
32,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,3300,1667,0.411
33,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,3400,1667,0.411
34,1.3439178,1774275386436,208.27173,155.16393,100,3000.0,30.0,10.0,3500,1667,0.411
35,1.207448,1774275386436,207.0188,155.04579,100,3000.0,30.0,10.0,3600,3591,0.817
36,1.0138588,1774275386436,307.78363,204.13594,100,3000.0,30.0,10.0,3700,3610,0.842
37,1.0138588,1774275386436,307.78363,204.13594,100,3000.0,30.0,10.0,3800,3610,0.842
38,1.0138588,1774275386436,307.78363,204.13594,100,3000.0,30.0,10.0,3900,3610,0.842
