iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,100,54,0.073
1,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,200,54,0.073
2,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,300,54,0.073
3,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,400,54,0.073
4,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,500,54,0.073
5,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,600,54,0.073
6,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,700,54,0.073
7,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,800,54,0.073
8,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,900,54,0.073
9,2.0995274,203.60245,205.38716,100,3000.0,30.0,10.0,1000,54,0.073
10,1.6799841,313.99792,150.28937,100,3000.0,30.0,10.0,1100,1066,0.804
11,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1200,1166,0.877
12,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1300,1166,0.877
13,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1400,1166,0.877
14,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1500,1166,0.877
15,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1600,1166,0.877
16,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1700,1166,0.877
17,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1800,1166,0.877
18,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,1900,1166,0.877
19,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2000,1166,0.877
20,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2100,1166,0.877
21,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2200,1166,0.877
22,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2300,1166,0.877
23,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2400,1166,0.877
24,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2500,1166,0.877
25,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2600,1166,0.877
26,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2700,1166,0.877
27,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2800,1166,0.877
28,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,2900,1166,0.877
29,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3000,1166,0.877
30,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3100,1166,0.877
31,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3200,1166,0.877
32,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3300,1166,0.877
33,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3400,1166,0.877
34,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3500,1166,0.877
35,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3600,1166,0.877
36,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3700,1166,0.877
37,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3800,1166,0.877
38,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,3900,1166,0.877
39,1.5606537,311.11594,149.45618,100,3000.0,30.0,10.0,4000,1166,0.877
40,0.28614902,305.7757,151.78682,100,3000.0,30.0,10.0,4100,4073,2.994
41,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4200,4173,3.065
42,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4300,4173,3.065
43,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4400,4173,3.065
44,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4500,4173,3.065
45,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4600,4173,3.065
46,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4700,4173,3.065
47,0.18284893,304.936,154.66692,100,3000.0,30.0,10.0,4800,4173,3.065
48,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,4900,4831,3.572
49,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5000,4831,3.572
50,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5100,4831,3.572
51,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5200,4831,3.572
52,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5300,4831,3.572
53,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5400,4831,3.572
54,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5500,4831,3.572
55,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5600,4831,3.572
56,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5700,4831,3.572
57,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5800,4831,3.572
58,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,5900,4831,3.572
59,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,6000,4831,3.572
60,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,6100,4831,3.572
61,0.09771824,304.9257,153.58788,100,3000.0,30.0,10.0,6200,4831,3.572
62,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6300,6205,4.58
63,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6400,6205,4.58
64,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6500,6205,4.58
65,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6600,6205,4.58
66,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6700,6205,4.58
67,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6800,6205,4.58
68,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,6900,6205,4.58
69,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7000,6205,4.58
70,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7100,6205,4.58
71,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7200,6205,4.58
72,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7300,6205,4.58
73,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7400,6205,4.58
74,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7500,6205,4.58
75,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7600,6205,4.58
76,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7700,6205,4.58
77,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7800,6205,4.58
78,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,7900,6205,4.58
79,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,8000,6205,4.58
80,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,8100,6205,4.58
81,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,8200,6205,4.58
82,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,8300,6205,4.58
83,0.0925045,306.64212,152.52942,100,3000.0,30.0,10.0,8400,6205,4.58
84,0.04345894,305.7074,153.46712,100,3000.0,30.0,10.0,8500,8446,6.167
85,0.04345894,305.7074,153.46712,100,3000.0,30.0,10.0,8600,8446,6.167
86,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,8700,8628,6.313
87,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,8800,8628,6.313
88,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,8900,8628,6.313
89,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9000,8628,6.313
90,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9100,8628,6.313
91,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9200,8628,6.313
92,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9300,8628,6.313
93,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9400,8628,6.313
94,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9500,8628,6.313
95,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9600,8628,6.313
96,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9700,8628,6.313
97,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9800,8628,6.313
98,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,9900,8628,6.313
99,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10000,8628,6.313
100,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10100,8628,6.313
101,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10200,8628,6.313
102,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10300,8628,6.313
103,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10400,8628,6.313
104,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10500,8628,6.313
105,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10600,8628,6.313
106,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10700,8628,6.313
107,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10800,8628,6.313
108,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,10900,8628,6.313
109,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11000,8628,6.313
110,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11100,8628,6.313
111,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11200,8628,6.313
112,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11300,8628,6.313
113,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11400,8628,6.313
114,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11500,8628,6.313
115,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11600,8628,6.313
116,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11700,8628,6.313
117,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11800,8628,6.313
118,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,11900,8628,6.313
119,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12000,8628,6.313
120,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12100,8628,6.313
121,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12200,8628,6.313
122,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12300,8628,6.313
123,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12400,8628,6.313
124,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12500,8628,6.313
125,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12600,8628,6.313
126,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12700,8628,6.313
127,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12800,8628,6.313
128,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,12900,8628,6.313
129,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,13000,8628,6.313
130,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,13100,8628,6.313
131,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,13200,8628,6.313
132,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,13300,8628,6.313
133,0.0020837784,306.95123,153.70984,100,3000.0,30.0,10.0,13400,8628,6.313
