iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,100,100,0.016
1,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,200,100,0.016
2,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,300,100,0.016
3,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,400,100,0.016
4,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,500,100,0.016
5,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,600,100,0.016
6,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,700,100,0.016
7,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,800,100,0.016
8,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,900,100,0.016
9,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,1000,100,0.016
10,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,1100,100,0.016
11,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,1200,100,0.016
12,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,1300,100,0.016
13,3.0401735,1774275274343,201.0109,207.59738,100,3000.0,30.0,10.0,1400,100,0.016
14,2.0937614,1774275274343,416.65277,152.97646,100,3000.0,30.0,10.0,1500,1498,0.319
15,1.4005547,1774275274343,413.66345,153.22945,100,3000.0,30.0,10.0,1600,1598,0.344
16,1.0438461,1774275274343,410.67413,153.48244,100,3000.0,30.0,10.0,1700,1698,0.362
17,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,1800,1798,0.383
18,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,1900,1798,0.383
19,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2000,1798,0.383
20,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2100,1798,0.383
21,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2200,1798,0.383
22,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2300,1798,0.383
23,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2400,1798,0.383
24,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2500,1798,0.383
25,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2600,1798,0.383
26,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2700,1798,0.383
27,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2800,1798,0.383
28,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,2900,1798,0.383
29,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3000,1798,0.383
30,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3100,1798,0.383
31,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3200,1798,0.383
32,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3300,1798,0.383
33,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3400,1798,0.383
34,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3500,1798,0.383
35,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3600,1798,0.383
36,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3700,1798,0.383
37,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3800,1798,0.383
38,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,3900,1798,0.383
39,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,4000,1798,0.383
40,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,4100,1798,0.383
41,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,4200,1798,0.383
42,1.0332994,1774275274343,407.6848,153.73543,100,3000.0,30.0,10.0,4300,1798,0.383
