iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,14.685474,333.30927,49.631924,100,10.0,30.0,30.0,100,32,0.616
1,13.4918585,330.57104,48.406334,100,10.0,30.0,30.0,200,132,0.657
2,12.235102,434.66507,102.159225,100,10.0,30.0,30.0,300,254,0.687
3,10.662513,431.8892,101.02146,100,10.0,30.0,30.0,400,354,0.71
4,9.342627,429.1133,99.8837,100,10.0,30.0,30.0,500,454,0.731
5,7.8482194,312.82654,262.19846,100,10.0,30.0,30.0,600,596,0.754
6,6.256153,423.91568,100.51656,100,10.0,30.0,30.0,700,654,0.772
7,4.798112,421.49393,102.28719,100,10.0,30.0,30.0,800,754,0.795
8,3.9780703,419.07217,104.05782,100,10.0,30.0,30.0,900,854,0.815
9,3.806365,416.65042,105.82845,100,10.0,30.0,30.0,1000,954,0.836
10,3.806365,416.65042,105.82845,100,10.0,30.0,30.0,1100,954,0.836
11,3.5599394,416.3353,105.46317,100,10.0,30.0,30.0,1200,1154,0.876
12,3.5599394,416.3353,105.46317,100,10.0,30.0,30.0,1300,1154,0.876
13,3.5599394,416.3353,105.46317,100,10.0,30.0,30.0,1400,1154,0.876
14,2.6537285,414.0493,104.28709,100,10.0,30.0,30.0,1500,1454,0.93
15,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,1600,1554,0.943
16,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,1700,1554,0.943
17,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,1800,1554,0.943
18,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,1900,1554,0.943
19,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2000,1554,0.943
20,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2100,1554,0.943
21,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2200,1554,0.943
22,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2300,1554,0.943
23,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2400,1554,0.943
24,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2500,1554,0.943
25,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2600,1554,0.943
26,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2700,1554,0.943
27,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2800,1554,0.943
28,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,2900,1554,0.943
29,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,3000,1554,0.943
30,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,3100,1554,0.943
31,2.0960417,411.42892,102.82638,100,10.0,30.0,30.0,3200,1554,0.943
