iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,2.1456566,306.70383,208.46188,100,10.0,30.0,30.0,100,78,0.506
1,1.4976883,304.2937,206.67548,100,10.0,30.0,30.0,200,178,0.522
2,1.4976883,304.2937,206.67548,100,10.0,30.0,30.0,300,178,0.522
3,1.4302845,304.41525,206.4986,100,10.0,30.0,30.0,400,378,0.552
4,1.4302845,304.41525,206.4986,100,10.0,30.0,30.0,500,378,0.552
5,1.4302845,304.41525,206.4986,100,10.0,30.0,30.0,600,378,0.552
6,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,700,678,0.603
7,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,800,678,0.603
8,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,900,678,0.603
9,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1000,678,0.603
10,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1100,678,0.603
11,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1200,678,0.603
12,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1300,678,0.603
13,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1400,678,0.603
14,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1500,678,0.603
15,1.1032429,305.21445,203.8731,100,10.0,30.0,30.0,1600,678,0.603
16,1.1029358,305.18048,205.181,100,10.0,30.0,30.0,1700,1678,0.77
17,1.1029358,305.18048,205.181,100,10.0,30.0,30.0,1800,1678,0.77
18,1.1029358,305.18048,205.181,100,10.0,30.0,30.0,1900,1678,0.77
19,1.0838661,307.56027,203.47131,100,10.0,30.0,30.0,2000,1978,0.825
20,1.0838661,307.56027,203.47131,100,10.0,30.0,30.0,2100,1978,0.825
21,1.0634775,307.66855,203.6184,100,10.0,30.0,30.0,2200,2178,0.85
22,1.0634775,307.66855,203.6184,100,10.0,30.0,30.0,2300,2178,0.85
23,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,2400,2378,0.889
24,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,2500,2378,0.889
25,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,2600,2378,0.889
26,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,2700,2378,0.889
27,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,2800,2378,0.889
28,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,2900,2378,0.889
29,1.0137415,308.18463,204.61859,100,10.0,30.0,30.0,3000,2378,0.889
