iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,4.595126,1774481113833,216.9103,104.23279,100,2985.0,10.0,2.0,100,6,0.006
1,4.595126,1774481113833,216.9103,104.23279,100,2970.075,10.0,2.0,200,6,0.006
2,4.595126,1774481113833,216.9103,104.23279,100,2955.2246,10.0,2.0,300,6,0.006
3,4.595126,1774481113833,216.9103,104.23279,100,2940.4485,10.0,2.0,400,6,0.006
4,4.595126,1774481113833,216.9103,104.23279,100,2925.7463,10.0,2.0,500,6,0.006
5,4.595126,1774481113833,216.9103,104.23279,100,2911.1177,10.0,2.0,600,6,0.006
6,4.595126,1774481113833,216.9103,104.23279,100,2896.562,10.0,2.0,700,6,0.006
7,4.595126,1774481113833,216.9103,104.23279,100,2882.079,10.0,2.0,800,6,0.006
8,4.595126,1774481113833,216.9103,104.23279,100,2867.6687,10.0,2.0,900,6,0.006
9,4.595126,1774481113833,216.9103,104.23279,100,2853.3303,10.0,2.0,1000,6,0.006
10,2.7725868,1774481113833,309.6185,97.91142,100,2839.0637,10.0,2.0,1100,1028,0.188
11,1.3383465,1774481113833,308.27472,100.59363,100,2824.8684,10.0,2.0,1200,1128,0.205
12,1.0251551,1774481113833,306.93094,103.27583,100,2810.7441,10.0,2.0,1300,1228,0.224
13,1.0251551,1774481113833,306.93094,103.27583,100,2796.6904,10.0,2.0,1400,1228,0.224
14,1.0251551,1774481113833,306.93094,103.27583,100,2782.707,10.0,2.0,1500,1228,0.224
15,1.0251551,1774481113833,306.93094,103.27583,100,2768.7935,10.0,2.0,1600,1228,0.224
16,1.0251551,1774481113833,306.93094,103.27583,100,2754.9495,10.0,2.0,1700,1228,0.224
17,1.0251551,1774481113833,306.93094,103.27583,100,2741.1748,10.0,2.0,1800,1228,0.224
18,1.0251551,1774481113833,306.93094,103.27583,100,2727.469,10.0,2.0,1900,1228,0.224
19,1.0251551,1774481113833,306.93094,103.27583,100,2713.8315,10.0,2.0,2000,1228,0.224
20,1.0251551,1774481113833,306.93094,103.27583,100,2700.2625,10.0,2.0,2100,1228,0.224
21,1.0251551,1774481113833,306.93094,103.27583,100,2686.7612,10.0,2.0,2200,1228,0.224
22,1.0251551,1774481113833,306.93094,103.27583,100,2673.3274,10.0,2.0,2300,1228,0.224
23,1.0251551,1774481113833,306.93094,103.27583,100,2659.9607,10.0,2.0,2400,1228,0.224
24,1.0251551,1774481113833,306.93094,103.27583,100,2646.661,10.0,2.0,2500,1228,0.224
25,1.0251551,1774481113833,306.93094,103.27583,100,2633.4275,10.0,2.0,2600,1228,0.224
26,1.0251551,1774481113833,306.93094,103.27583,100,2620.2603,10.0,2.0,2700,1228,0.224
27,1.0251551,1774481113833,306.93094,103.27583,100,2607.159,10.0,2.0,2800,1228,0.224
28,1.0251551,1774481113833,306.93094,103.27583,100,2594.123,10.0,2.0,2900,1228,0.224
29,1.0251551,1774481113833,306.93094,103.27583,100,2581.1523,10.0,2.0,3000,1228,0.224
30,1.0251551,1774481113833,306.93094,103.27583,100,2568.2466,10.0,2.0,3100,1228,0.224
31,1.0251551,1774481113833,306.93094,103.27583,100,2555.4053,10.0,2.0,3200,1228,0.224
32,1.0251551,1774481113833,306.93094,103.27583,100,2542.6282,10.0,2.0,3300,1228,0.224
33,1.0251551,1774481113833,306.93094,103.27583,100,2529.915,10.0,2.0,3400,1228,0.224
34,1.0251551,1774481113833,306.93094,103.27583,100,2517.2654,10.0,2.0,3500,1228,0.224
35,1.0251551,1774481113833,306.93094,103.27583,100,2504.679,10.0,2.0,3600,1228,0.224
36,1.0251551,1774481113833,306.93094,103.27583,100,2492.1555,10.0,2.0,3700,1228,0.224
37,1.0251551,1774481113833,306.93094,103.27583,100,2479.6948,10.0,2.0,3800,1228,0.224
38,1.0251551,1774481113833,306.93094,103.27583,100,2467.2964,10.0,2.0,3900,1228,0.224
39,1.0251551,1774481113833,306.93094,103.27583,100,2454.96,10.0,2.0,4000,1228,0.224
40,1.0251551,1774481113833,306.93094,103.27583,100,2442.685,10.0,2.0,4100,1228,0.224
41,1.0251551,1774481113833,306.93094,103.27583,100,2430.4717,10.0,2.0,4200,1228,0.224
42,1.0251551,1774481113833,306.93094,103.27583,100,2418.3193,10.0,2.0,4300,1228,0.224
43,1.0251551,1774481113833,306.93094,103.27583,100,2406.2278,10.0,2.0,4400,1228,0.224
44,1.0251551,1774481113833,306.93094,103.27583,100,2394.1968,10.0,2.0,4500,1228,0.224
45,1.0251551,1774481113833,306.93094,103.27583,100,2382.2258,10.0,2.0,4600,1228,0.224
46,1.0251551,1774481113833,306.93094,103.27583,100,2370.3147,10.0,2.0,4700,1228,0.224
47,1.0251551,1774481113833,306.93094,103.27583,100,2358.4631,10.0,2.0,4800,1228,0.224
48,1.0251551,1774481113833,306.93094,103.27583,100,2346.671,10.0,2.0,4900,1228,0.224
49,1.0251551,1774481113833,306.93094,103.27583,100,2334.9375,10.0,2.0,5000,1228,0.224
50,1.0251551,1774481113833,306.93094,103.27583,100,2323.263,10.0,2.0,5100,1228,0.224
51,1.0251551,1774481113833,306.93094,103.27583,100,2311.6467,10.0,2.0,5200,1228,0.224
52,1.0251551,1774481113833,306.93094,103.27583,100,2300.0886,10.0,2.0,5300,1228,0.224
53,1.0251551,1774481113833,306.93094,103.27583,100,2288.5881,10.0,2.0,5400,1228,0.224
54,1.0251551,1774481113833,306.93094,103.27583,100,2277.1453,10.0,2.0,5500,1228,0.224
55,1.0251551,1774481113833,306.93094,103.27583,100,2265.7595,10.0,2.0,5600,1228,0.224
56,1.0251551,1774481113833,306.93094,103.27583,100,2254.4307,10.0,2.0,5700,1228,0.224
57,1.0251551,1774481113833,306.93094,103.27583,100,2243.1584,10.0,2.0,5800,1228,0.224
58,1.0251551,1774481113833,306.93094,103.27583,100,2231.9426,10.0,2.0,5900,1228,0.224
59,1.0251551,1774481113833,306.93094,103.27583,100,2220.783,10.0,2.0,6000,1228,0.224
60,1.0251551,1774481113833,306.93094,103.27583,100,2209.679,10.0,2.0,6100,1228,0.224
61,1.0251551,1774481113833,306.93094,103.27583,100,2198.6306,10.0,2.0,6200,1228,0.224
62,1.0251551,1774481113833,306.93094,103.27583,100,2187.6375,10.0,2.0,6300,1228,0.224
63,1.0251551,1774481113833,306.93094,103.27583,100,2176.6992,10.0,2.0,6400,1228,0.224
64,1.0251551,1774481113833,306.93094,103.27583,100,2165.8157,10.0,2.0,6500,1228,0.224
65,1.0251551,1774481113833,306.93094,103.27583,100,2154.9866,10.0,2.0,6600,1228,0.224
66,1.0251551,1774481113833,306.93094,103.27583,100,2144.2117,10.0,2.0,6700,1228,0.224
67,1.0251551,1774481113833,306.93094,103.27583,100,2133.4907,10.0,2.0,6800,1228,0.224
