iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,5.708642,509.28885,148.82675,100,3000.0,30.0,10.0,100,61,0.076
1,5.708642,509.28885,148.82675,100,3000.0,30.0,10.0,200,61,0.076
2,5.708642,509.28885,148.82675,100,3000.0,30.0,10.0,300,61,0.076
3,5.708642,509.28885,148.82675,100,3000.0,30.0,10.0,400,61,0.076
4,4.7850647,407.6127,210.69633,100,3000.0,30.0,10.0,500,489,0.381
5,3.7281203,405.16537,208.96124,100,3000.0,30.0,10.0,600,589,0.456
6,3.2854786,402.71805,207.22615,100,3000.0,30.0,10.0,700,689,0.53
7,3.2854786,402.71805,207.22615,100,3000.0,30.0,10.0,800,689,0.53
8,2.722353,407.8827,158.40883,100,3000.0,30.0,10.0,900,865,0.678
9,1.7434502,405.76288,156.286,100,3000.0,30.0,10.0,1000,965,0.791
10,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1100,1065,0.877
11,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1200,1065,0.877
12,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1300,1065,0.877
13,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1400,1065,0.877
14,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1500,1065,0.877
15,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1600,1065,0.877
16,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1700,1065,0.877
17,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1800,1065,0.877
18,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,1900,1065,0.877
19,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2000,1065,0.877
20,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2100,1065,0.877
21,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2200,1065,0.877
22,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2300,1065,0.877
23,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2400,1065,0.877
24,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2500,1065,0.877
25,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2600,1065,0.877
26,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2700,1065,0.877
27,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2800,1065,0.877
28,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,2900,1065,0.877
29,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,3000,1065,0.877
30,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,3100,1065,0.877
31,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,3200,1065,0.877
32,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,3300,1065,0.877
33,1.5716228,403.64307,154.16316,100,3000.0,30.0,10.0,3400,1065,0.877
34,1.5290442,207.34819,151.13545,100,3000.0,30.0,10.0,3500,3423,2.684
