iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,10.248957,1774275294541,607.6577,150.33504,100,3000.0,30.0,10.0,100,63,0.007
1,10.248957,1774275294541,607.6577,150.33504,100,3000.0,30.0,10.0,200,63,0.007
2,10.248957,1774275294541,607.6577,150.33504,100,3000.0,30.0,10.0,300,63,0.007
3,7.8533473,1774275294541,199.4276,213.19382,100,3000.0,30.0,10.0,400,307,0.052
4,4.930702,1774275294541,200.53432,210.40543,100,3000.0,30.0,10.0,500,407,0.068
5,2.954609,1774275294541,201.64104,207.61703,100,3000.0,30.0,10.0,600,507,0.085
6,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,700,607,0.105
7,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,800,607,0.105
8,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,900,607,0.105
9,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,1000,607,0.105
10,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,1100,607,0.105
11,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,1200,607,0.105
12,2.1208448,1774275294541,202.74776,204.82864,100,3000.0,30.0,10.0,1300,607,0.105
13,1.7047501,1774275294541,309.388,99.78724,100,3000.0,30.0,10.0,1400,1400,0.232
14,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,1500,1500,0.25
15,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,1600,1500,0.25
16,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,1700,1500,0.25
17,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,1800,1500,0.25
18,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,1900,1500,0.25
19,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2000,1500,0.25
20,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2100,1500,0.25
21,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2200,1500,0.25
22,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2300,1500,0.25
23,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2400,1500,0.25
24,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2500,1500,0.25
25,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2600,1500,0.25
26,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2700,1500,0.25
27,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2800,1500,0.25
28,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,2900,1500,0.25
29,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3000,1500,0.25
30,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3100,1500,0.25
31,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3200,1500,0.25
32,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3300,1500,0.25
33,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3400,1500,0.25
34,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3500,1500,0.25
35,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3600,1500,0.25
36,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3700,1500,0.25
37,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3800,1500,0.25
38,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,3900,1500,0.25
39,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4000,1500,0.25
40,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4100,1500,0.25
41,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4200,1500,0.25
42,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4300,1500,0.25
43,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4400,1500,0.25
44,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4500,1500,0.25
45,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4600,1500,0.25
46,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4700,1500,0.25
47,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4800,1500,0.25
48,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,4900,1500,0.25
49,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,5000,1500,0.25
50,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,5100,1500,0.25
51,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,5200,1500,0.25
52,1.1590357,1774275294541,306.74286,101.20262,100,3000.0,30.0,10.0,5300,1500,0.25
53,0.9955015,1774275294541,409.23425,153.56145,100,3000.0,30.0,10.0,5400,5343,0.913
54,0.9955015,1774275294541,409.23425,153.56145,100,3000.0,30.0,10.0,5500,5343,0.913
55,0.9955015,1774275294541,409.23425,153.56145,100,3000.0,30.0,10.0,5600,5343,0.913
56,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,5700,5646,0.966
57,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,5800,5646,0.966
58,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,5900,5646,0.966
59,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,6000,5646,0.966
60,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,6100,5646,0.966
61,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,6200,5646,0.966
62,0.92574406,1774275294541,300.15643,153.74223,100,3000.0,30.0,10.0,6300,5646,0.966
63,0.35024738,1774275294541,304.82455,151.802,100,3000.0,30.0,10.0,6400,6358,1.086
64,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,6500,6458,1.101
65,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,6600,6458,1.101
66,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,6700,6458,1.101
67,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,6800,6458,1.101
68,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,6900,6458,1.101
69,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7000,6458,1.101
70,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7100,6458,1.101
71,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7200,6458,1.101
72,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7300,6458,1.101
73,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7400,6458,1.101
74,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7500,6458,1.101
75,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7600,6458,1.101
76,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7700,6458,1.101
77,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7800,6458,1.101
78,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,7900,6458,1.101
79,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8000,6458,1.101
80,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8100,6458,1.101
81,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8200,6458,1.101
82,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8300,6458,1.101
83,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8400,6458,1.101
84,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8500,6458,1.101
85,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8600,6458,1.101
86,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8700,6458,1.101
87,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8800,6458,1.101
88,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,8900,6458,1.101
89,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9000,6458,1.101
90,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9100,6458,1.101
91,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9200,6458,1.101
92,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9300,6458,1.101
93,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9400,6458,1.101
94,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9500,6458,1.101
95,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9600,6458,1.101
96,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9700,6458,1.101
97,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9800,6458,1.101
98,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,9900,6458,1.101
99,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10000,6458,1.101
100,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10100,6458,1.101
101,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10200,6458,1.101
102,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10300,6458,1.101
103,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10400,6458,1.101
104,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10500,6458,1.101
105,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10600,6458,1.101
106,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10700,6458,1.101
107,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10800,6458,1.101
108,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,10900,6458,1.101
109,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,11000,6458,1.101
110,0.0051231384,1774275294541,307.02188,153.8445,100,3000.0,30.0,10.0,11100,6458,1.101
