iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,200,73,16.222
1,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,300,73,16.222
2,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,400,73,16.222
3,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,500,73,16.222
4,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,600,73,16.222
5,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,700,73,16.222
6,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,800,73,16.222
7,1774830611276,1.5006666,303.62915,104.53772,100,0.9,55.0,3,900,73,16.222
8,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1000,939,0.426
9,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1100,939,0.426
10,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1200,939,0.426
11,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1300,939,0.426
12,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1400,939,0.426
13,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1500,939,0.426
14,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1600,939,0.426
15,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1700,939,0.426
16,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1800,939,0.426
17,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,1900,939,0.426
18,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2000,939,0.426
19,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2100,939,0.426
20,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2200,939,0.426
21,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2300,939,0.426
22,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2400,939,0.426
23,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2500,939,0.426
24,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2600,939,0.426
25,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2700,939,0.426
26,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2800,939,0.426
27,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,2900,939,0.426
28,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3000,939,0.426
29,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3100,939,0.426
30,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3200,939,0.426
31,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3300,939,0.426
32,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3400,939,0.426
33,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3500,939,0.426
34,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3600,939,0.426
35,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3700,939,0.426
36,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3800,939,0.426
37,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,3900,939,0.426
38,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4000,939,0.426
39,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4100,939,0.426
40,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4200,939,0.426
41,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4300,939,0.426
42,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4400,939,0.426
43,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4500,939,0.426
44,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4600,939,0.426
45,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4700,939,0.426
46,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4800,939,0.426
47,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,4900,939,0.426
48,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5000,939,0.426
49,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5100,939,0.426
50,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5200,939,0.426
51,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5300,939,0.426
52,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5400,939,0.426
53,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5500,939,0.426
54,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5600,939,0.426
55,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5700,939,0.426
56,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5800,939,0.426
57,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,5900,939,0.426
58,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6000,939,0.426
59,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6100,939,0.426
60,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6200,939,0.426
61,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6300,939,0.426
62,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6400,939,0.426
63,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6500,939,0.426
64,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6600,939,0.426
65,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6700,939,0.426
66,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6800,939,0.426
67,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,6900,939,0.426
68,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7000,939,0.426
69,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7100,939,0.426
70,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7200,939,0.426
71,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7300,939,0.426
72,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7400,939,0.426
73,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7500,939,0.426
74,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7600,939,0.426
75,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7700,939,0.426
76,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7800,939,0.426
77,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,7900,939,0.426
78,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8000,939,0.426
79,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8100,939,0.426
80,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8200,939,0.426
81,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8300,939,0.426
82,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8400,939,0.426
83,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8500,939,0.426
84,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8600,939,0.426
85,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8700,939,0.426
86,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8800,939,0.426
87,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,8900,939,0.426
88,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9000,939,0.426
89,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9100,939,0.426
90,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9200,939,0.426
91,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9300,939,0.426
92,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9400,939,0.426
93,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9500,939,0.426
94,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9600,939,0.426
95,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9700,939,0.426
96,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9800,939,0.426
97,1774830611276,0.03495598,308.49582,153.3943,100,0.9,55.0,3,9900,939,0.426
