iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1774617429795,1.7102556,406.20163,156.33025,100,0.1,55.0,3,200,130,0.193
1,1774617429795,1.7102556,406.20163,156.33025,100,0.1,55.0,3,300,130,0.193
2,1774617429795,0.9987736,409.27948,153.80208,100,0.1,55.0,3,400,353,0.23
3,1774617429795,0.9987736,409.27948,153.80208,100,0.1,55.0,3,500,353,0.23
4,1774617429795,0.9987736,409.27948,153.80208,100,0.1,55.0,3,600,353,0.23
5,1774617429795,0.8901043,314.07623,153.26208,100,0.1,55.0,3,700,693,0.279
6,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,800,714,0.295
7,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,900,714,0.295
8,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,1000,714,0.295
9,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,1100,714,0.295
10,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,1200,714,0.295
11,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,1300,714,0.295
12,1774617429795,0.64495564,305.9615,156.46756,100,0.1,55.0,3,1400,714,0.295
13,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,1500,1481,0.412
14,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,1600,1481,0.412
15,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,1700,1481,0.412
16,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,1800,1481,0.412
17,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,1900,1481,0.412
18,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2000,1481,0.412
19,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2100,1481,0.412
20,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2200,1481,0.412
21,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2300,1481,0.412
22,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2400,1481,0.412
23,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2500,1481,0.412
24,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2600,1481,0.412
25,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2700,1481,0.412
26,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2800,1481,0.412
27,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,2900,1481,0.412
28,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3000,1481,0.412
29,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3100,1481,0.412
30,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3200,1481,0.412
31,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3300,1481,0.412
32,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3400,1481,0.412
33,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3500,1481,0.412
34,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3600,1481,0.412
35,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3700,1481,0.412
36,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3800,1481,0.412
37,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,3900,1481,0.412
38,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4000,1481,0.412
39,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4100,1481,0.412
40,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4200,1481,0.412
41,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4300,1481,0.412
42,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4400,1481,0.412
43,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4500,1481,0.412
44,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4600,1481,0.412
45,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4700,1481,0.412
46,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4800,1481,0.412
47,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,4900,1481,0.412
48,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,5000,1481,0.412
49,1774617429795,0.064232826,307.72418,152.71635,100,0.1,55.0,3,5100,1481,0.412
50,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5200,5164,1.052
51,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5300,5164,1.052
52,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5400,5164,1.052
53,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5500,5164,1.052
54,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5600,5164,1.052
55,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5700,5164,1.052
56,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5800,5164,1.052
57,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,5900,5164,1.052
58,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6000,5164,1.052
59,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6100,5164,1.052
60,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6200,5164,1.052
61,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6300,5164,1.052
62,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6400,5164,1.052
63,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6500,5164,1.052
64,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6600,5164,1.052
65,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6700,5164,1.052
66,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6800,5164,1.052
67,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,6900,5164,1.052
68,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7000,5164,1.052
69,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7100,5164,1.052
70,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7200,5164,1.052
71,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7300,5164,1.052
72,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7400,5164,1.052
73,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7500,5164,1.052
74,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7600,5164,1.052
75,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7700,5164,1.052
76,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7800,5164,1.052
77,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,7900,5164,1.052
78,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8000,5164,1.052
79,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8100,5164,1.052
80,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8200,5164,1.052
81,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8300,5164,1.052
82,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8400,5164,1.052
83,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8500,5164,1.052
84,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8600,5164,1.052
85,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8700,5164,1.052
86,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8800,5164,1.052
87,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,8900,5164,1.052
88,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9000,5164,1.052
89,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9100,5164,1.052
90,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9200,5164,1.052
91,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9300,5164,1.052
92,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9400,5164,1.052
93,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9500,5164,1.052
94,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9600,5164,1.052
95,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9700,5164,1.052
96,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9800,5164,1.052
97,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,9900,5164,1.052
98,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10000,5164,1.052
99,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10100,5164,1.052
100,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10200,5164,1.052
101,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10300,5164,1.052
102,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10400,5164,1.052
103,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10500,5164,1.052
104,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10600,5164,1.052
105,1774617429795,0.015505791,308.03436,153.77573,100,0.1,55.0,3,10700,5164,1.052
