iteracion,fitness,semilla,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
0,7.5514574,1774578468516,323.10022,199.10558,100,3000.0,30.0,10.0,100,69,0.004
1,7.5514574,1774578468516,323.10022,199.10558,100,3000.0,30.0,10.0,200,69,0.004
2,7.404316,1774578468516,311.1495,248.8031,100,3000.0,30.0,10.0,300,266,0.028
3,7.116869,1774578468516,308.14954,248.81544,100,3000.0,30.0,10.0,400,366,0.049
4,7.116869,1774578468516,308.14954,248.81544,100,3000.0,30.0,10.0,500,366,0.049
5,7.116869,1774578468516,308.14954,248.81544,100,3000.0,30.0,10.0,600,366,0.049
6,6.9795876,1774578468516,325.13992,100.12534,100,3000.0,30.0,10.0,700,662,0.098
7,5.2368517,1774578468516,322.638,101.78078,100,3000.0,30.0,10.0,800,762,0.111
8,4.044855,1774578468516,320.13608,103.43621,100,3000.0,30.0,10.0,900,862,0.128
9,3.4290285,1774578468516,317.63416,105.091644,100,3000.0,30.0,10.0,1000,962,0.145
10,3.3941712,1774578468516,315.13223,106.74708,100,3000.0,30.0,10.0,1100,1062,0.161
11,2.3092165,1774578468516,313.10312,99.68895,100,3000.0,30.0,10.0,1200,1173,0.188
12,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1300,1273,0.195
13,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1400,1273,0.195
14,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1500,1273,0.195
15,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1600,1273,0.195
16,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1700,1273,0.195
17,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1800,1273,0.195
18,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,1900,1273,0.195
19,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,2000,1273,0.195
20,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,2100,1273,0.195
21,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,2200,1273,0.195
22,1.5310678,1774578468516,312.54675,102.63691,100,3000.0,30.0,10.0,2300,1273,0.195
